t,x,y,vx,vy,r,theta,omega
250200,-66069721.132689066,138747935.97338915,-15440.771247393708,-2013.4220169222112,152740213.82172167,55.21396785710132,0.00038690470775045685
250400,-69130254.92398177,138287247.97171107,-15302.668956463489,-2303.4400083903797,153675625.22217697,55.291627683924695,0.0003882991341168549
250600,-72162406.22561362,137769784.01296327,-15160.756508159273,-2587.3197937390346,154603865.07925412,55.36949386246381,0.00038933089269559124
250800,-75165453.27650476,137196755.30037573,-15015.235254455667,-2865.1435629376474,155524680.54700845,55.44749311850951,0.00038999628022851074
251000,-78138712.67395075,136569356.2724034,-14866.296987229964,-3136.995139861669,156437831.20208997,55.52555249368542,0.0003902968758795207
251200,-81081537.540574,135888764.35014498,-14714.124333116246,-3402.959611291997,157343088.47547412,55.60360039458351,0.000390239504490475
251400,-83993315.76846763,135156139.75186485,-14558.891139468144,-3663.1229914007135,158240235.10647583,55.68156760852813,0.00038983606972308236
251600,-86873468.33857337,134372625.36807477,-14400.76285052863,-3917.571918950441,159129064.61865205,55.75938826133545,0.0003891032640366275
251800,-89721447.71319458,133539346.69115338,-14239.896873106045,-4166.393384607021,160009380.81713235,55.83700069493497,0.00038806216799760286
252000,-92536736.29944056,132657411.79396677,-14076.442931229947,-4409.674485933008,160880997.3068652,55.91434824614152,0.0003867377560327637
252200,-95318844.98132281,131727911.35240844,-13910.543409411226,-4647.502207791632,161743737.03122565,55.991379911965886,0.0003851583291218076
252400,-98067311.71817493,130751918.70719911,-13742.333684260642,-4879.963226046635,162597431.83039954,56.06805089134709,0.00038335489690601195
252600,-100781700.20704114,129730489.96068068,-13571.94244433102,-5107.143732592202,163441922.0189352,56.14432299779238,0.00038136053222643005
252800,-103461598.60666971,128664664.10470293,-13399.491998142843,-5329.129279888685,164277055.98183876,56.220164941850186,0.00037920972028904497
253000,-106106618.32075627,127555463.17604016,-13225.09857043284,-5546.004643313902,165102689.78857878,56.295552486386065,0.0003769377226794078
253200,-108716392.8381027,126403892.43608692,-13048.87258673213,-5757.8536997662095,165918686.82436222,56.370468481102854,0.0003745799735839397
253400,-111290576.62738994,125210940.571872,-12870.918946436203,-5964.759321074617,166724917.43804374,56.444902785527816,0.000372171522124823
253600,-113828844.08430488,123977579.91569543,-12691.337284574724,-6166.803280882817,167521258.60603428,56.518852091725506,0.00036974653098846745
253800,-116330888.52881016,122704766.68093973,-12510.222222526347,-6364.066173778474,168307593.6115826,56.592319659286645,0.0003673378378057075
254000,-118796421.25040081,121393441.21183239,-12327.663607953291,-6556.627345536693,169083811.73881286,56.66531497573857,0.0003649765822596101
254200,-121225170.59925152,120044528.2451449,-12143.746744253562,-6744.5648334374255,169849807.9809138,56.73785335550445,0.00036269189882939964
254400,-123616881.12122077,118658937.18200468,-11958.55260984619,-6927.955315701165,170605482.76188847,56.809955490012364,0.00036051067253957067
254600,-125971312.73474427,117237562.36817153,-11772.158067617496,-7106.874069165706,171350741.6712894,56.88164696063762,0.000358457353126259
254800,-128288239.94771725,115781283.38129161,-11584.636064864902,-7281.394934399557,172085495.2113793,56.95295772497021,0.0003565538216629613
255000,-130567451.11253321,114290965.32378863,-11396.055824079811,-7451.590287514925,172809658.5561757,57.02392158554435,0.0003548193028706967
255200,-132808747.71751583,112767459.12018754,-11206.483024913041,-7617.531018005475,173523151.32185447,57.094575648746954,0.00035327031601303257
